cell,V1,V2,V3,V4,V5,V6,V7,V8,V9,class
510001,1.008009968,0.947238565,1.303463855,1.103463855,0.909372846,1.22758216,1.166134185,1.238666667,1.815817223,medium
510002,0.62992126,0.969546742,1.13345521,0.93345521,1.183152521,1.241237113,1.21422731,0.719626168,1.640060929,medium
510003,1.032310178,0.942243249,0.953919035,0.994643689,1.500365764,1.573209214,0.936046512,0.961773209,1.598687478,small
510004,0.484778982,1.527135333,1.423545803,1.223545803,0.258842444,1.229354749,0.784688995,0.615347722,2.32042007,medium
510005,1.008726179,0.666701571,1.339037433,1.139037433,1.339622642,1.337837838,0.984082397,1.475813544,2.178210261,medium
510006,1.009663759,0.49650872,1.889723703,1.689723703,2.06227652,1.189285714,1.29117175,1.583464567,1.850226718,medium
510007,3.635395875,1.210993658,0.913090909,0.713090909,2.417450813,1.399757502,2.053003534,2.3928,1.600344234,medium
510008,0.603001047,1.130405557,1.004893964,1.251222162,1.408960132,1.577494692,1.45556849,1.197721426,1.333153751,small
510009,0.684885975,1.124716553,1.233664185,1.033664185,1.092879257,1.184879032,0.994897959,0.887245841,1.775635593,medium
510010,2.340446359,0.853032802,1.151015228,0.951015228,0.925760756,1.407140833,1.164355864,1.356814701,1.476740862,medium
510011,1.304087423,0.679664067,1.083791653,0.883791653,0.958507963,1.391954526,1.112971698,1.553060679,1.455897169,medium
510012,0.974223213,1.125784753,1.384181568,1.184181568,1.020781638,1.390076336,0.928865593,1.005329154,2.257633588,medium
510013,0.886145405,1.03349507,0.533430233,0.333430233,1.141734575,1.282196572,1.301509434,0.932098765,1.92530886,medium
510014,0.627235084,1.33213709,0.845265066,0.645265066,1.308275959,0.853420685,0.531322506,0.540647606,1.804229908,medium
510015,1.055228998,1.495409182,0.968972388,1.241023339,1.974888201,1.564207166,0.903487143,0.915333333,1.36394914,small
510016,1.035399088,0.878387981,1.835167648,1.635167648,2.097301406,1.334323019,1.060655738,1.143130501,1.733995448,medium
510017,0.991374564,0.791731339,1.561939268,1.361939268,0.778014487,1.730136099,0.880090865,0.830649855,1.917135343,medium
510018,0.555917938,0.481474671,1.171485457,0.971485457,1.061382598,1.279108125,0.833484163,1.709102091,1.797837504,medium
510019,1.655301012,2.433634162,1.551734274,1.351734274,1.270766259,1.251136364,1.067400734,1.041208791,1.822550832,medium
510020,0.921432049,0.811835561,1.367908941,1.167908941,0.838790932,1.251905921,0.939369442,0.96350365,1.707600596,medium
510021,0.893049336,0.802753734,0.990119972,0.790119972,0.976481656,1.202898551,0.963391137,1.017699115,1.803988036,medium
510022,0.886145405,0.796443283,0.904761905,1.012770418,0.781818182,1.586956522,0.875807609,0.691454664,1.206338028,small
510023,0.885200831,0.700782361,1.059951352,0.994611541,1.052446528,1.429616725,0.921972764,1.014564967,1.505719557,small
510024,1.022660177,0.887919115,1.05948898,0.85948898,0.947580645,1.261,0.962927757,0.954759661,1.808964143,medium
510025,1.047735618,1.03512476,0.670224847,0.470224847,0.53508316,1.223159636,0.412094557,0.373805509,2.290618661,medium
510026,1.277230193,0.871084109,1.457619863,0.924216028,1.253690037,1.541568627,1.104132231,1.206925323,1.256609895,small
510027,0.633159521,0.948054332,0.965103189,1.767679057,0.953421767,1.353280632,1.094215862,1.474650802,0.888315217,small
510028,1.694095477,0.857429048,0.550997365,0.350997365,0.978165939,1.657746479,0.851674641,1.189393939,2.018604651,medium
510029,0.958396044,1.166181437,0.817033976,0.617033976,0.981327049,1.204752852,0.828236696,0.695791659,1.81634049,medium
510030,0.994137983,1.076312222,0.739105829,0.970962867,1,1.5,1,1,1.3,small
510031,1.166553134,0.337908391,0.679610337,1.927236755,0.964446445,2.184099154,1.387309645,1.738173163,1.308995867,small
510032,0.741667641,0.663157895,1.022367195,1.041154009,1.467660292,1.261448553,0.913259958,0.836120401,1.383003953,small
510033,1.670176575,1.210751374,1.433458775,1.105263158,1.010515517,1.395959596,0.615656963,0.618306636,1.455632411,small
510034,2.192750429,1.882206759,1.452252252,0.967843411,0.749879981,1.471176942,0.824402308,0.808407437,1.685,small
510035,1.260078957,0.719464145,1.273375892,1.064206642,1.398944193,1.360147213,0.996914446,0.579415031,1.449342891,small
510036,0.866460542,1.551594747,0.766542981,0.822256175,0.812720848,1.465313029,0.830244626,1,3.921312197,small
510037,1.074742857,1.186780484,0.878249841,1.188910697,1.231,1.5,1,1,1.112347685,small
