cell no.,A,B,C,D,E,F,G,H,I,size
510037,1.074742857,1.186780484,0.878249841,1.188910697,1.231,1,1,1,0.812347685,small
510038,0.239473684,2.626760563,1.453125,0.991596639,1.19266055,1.009259259,1.089108911,0.861788618,0.514204545,small
510035,1.260078957,0.719464145,1.273375892,1.064206642,1.398944193,0.860147213,0.996914446,0.579415031,1.149342891,small
510056,0.980263158,0.626092137,1.147540984,1.382446963,1.515477793,0.61589698,1.274390244,1.170391061,0.800646552,small
510057,1.614758861,2.178088962,1.516390553,0.992894769,6.379272326,0.949055053,0.950814725,0.858115371,1.054681162,small
510062,3.772357724,0.457249071,2.042253521,0.717285945,1.531353135,1.168539326,1.50729927,1.144508671,0.88125,small
510076,1.095510204,1.070310495,0.996253122,4.879457707,1.095854922,0.903638151,1.177884615,1.315273775,0.852731591,small
510105,0.995043897,0.964246625,1.627574468,5.770406262,0.987554777,0.993012422,0.921121988,1.006146491,1.54245283,small
510120,1.019312294,1.1235,1.177852349,0.887253459,1.03130545,0.915740199,0.797809871,0.764125561,1.03917447,small
510121,1.031107244,0.914239771,1.73411306,0.982450832,1.115864092,0.726519337,0.960461021,0.840087282,0.935,small
510135,0.937949863,0.983667622,0.909567734,1.060478937,1.668581616,1.016477637,0.76121372,0.612281894,1.009254749,small
510223,0.729832373,1.038964124,1.270058708,1.138720539,0.87051805,0.891122547,0.933612633,1.805041742,0.450517661,small
510003,1.032310178,0.942243249,0.953919035,0.994643689,1.500365764,1.073209214,0.936046512,0.961773209,1.298687478,small
510008,0.603001047,1.130405557,1.004893964,1.251222162,1.408960132,1.077494692,1.45556849,1.197721426,1.033153751,small
510015,1.055228998,1.495409182,0.968972388,1.241023339,1.974888201,1.064207166,0.903487143,0.915333333,1.06394914,small
510022,0.886145405,0.796443283,0.904761905,1.012770418,0.781818182,1.086956522,0.875807609,0.691454664,0.906338028,small
510023,0.885200831,0.700782361,1.059951352,0.994611541,1.052446528,0.929616725,0.921972764,1.014564967,1.205719557,small
